run_accession	response_label	fastq_ftp_1	fastq_ftp_2	fastq_bytes	read_count
SRR11413606	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/006/SRR11413606/SRR11413606_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/006/SRR11413606/SRR11413606_2.fastq.gz	3603799620	26625980
SRR11413607	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR11413607/SRR11413607_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR11413607/SRR11413607_2.fastq.gz	3789340083	26226871
SRR11413608	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/008/SRR11413608/SRR11413608_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/008/SRR11413608/SRR11413608_2.fastq.gz	3805702862	26194149
SRR11413609	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR11413609/SRR11413609_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR11413609/SRR11413609_2.fastq.gz	2644233450	19800543
SRR11413610	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/010/SRR11413610/SRR11413610_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/010/SRR11413610/SRR11413610_2.fastq.gz	3066069638	21536968
SRR11413611	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/011/SRR11413611/SRR11413611_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/011/SRR11413611/SRR11413611_2.fastq.gz	3478072180	25363124
SRR11413612	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/012/SRR11413612/SRR11413612_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/012/SRR11413612/SRR11413612_2.fastq.gz	3197237803	21552226
SRR11413613	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/013/SRR11413613/SRR11413613_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/013/SRR11413613/SRR11413613_2.fastq.gz	3166730512	23539387
SRR11413614	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/014/SRR11413614/SRR11413614_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/014/SRR11413614/SRR11413614_2.fastq.gz	3614865097	23769753
SRR11413615	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/015/SRR11413615/SRR11413615_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/015/SRR11413615/SRR11413615_2.fastq.gz	3235828132	23111523
SRR11413617	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/017/SRR11413617/SRR11413617_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/017/SRR11413617/SRR11413617_2.fastq.gz	3653355404	25387084
SRR11413618	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/018/SRR11413618/SRR11413618_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/018/SRR11413618/SRR11413618_2.fastq.gz	4390175412	33743123
SRR11413619	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/019/SRR11413619/SRR11413619_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/019/SRR11413619/SRR11413619_2.fastq.gz	3738968862	25853019
SRR11413620	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/020/SRR11413620/SRR11413620_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/020/SRR11413620/SRR11413620_2.fastq.gz	3489781272	25568725
SRR11413645	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/045/SRR11413645/SRR11413645_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/045/SRR11413645/SRR11413645_2.fastq.gz	3525336079	25660451
