run_accession	Acidobacteriota	Actinomycetota	Aquificota	Armatimonadota	Artverviricota	Atribacterota	Bacillota	Bacteroidota	Balneolota	Bdellovibrionota	Caldisericota	Calditrichota	Campylobacterota	Candidatus_Absconditabacteria	Candidatus_Bipolaricaulota	Candidatus_Cloacimonadota	Candidatus_Korarchaeota	Candidatus_Lokiarchaeota	Candidatus_Micrarchaeota	Candidatus_Nanohaloarchaeota	Candidatus_Omnitrophota	Candidatus_Saccharibacteria	Candidatus_Thermoplasmatota	Chlamydiota	Chlorobiota	Chloroflexota	Chordata	Chrysiogenota	Coprothermobacterota	Cossaviricota	Cressdnaviricota	Cyanobacteriota	Deferribacterota	Deinococcota	Dictyoglomota	Dividoviricota	Duplornaviricota	Elusimicrobiota	Euryarchaeota	Fibrobacterota	Fusobacteriota	Gemmatimonadota	Heterolobosea	Hofneiviricota	Ignavibacteriota	Kiritimatiellota	Kitrinoviricota	Lenarviricota	Lentisphaerota	Mycoplasmatota	Myxococcota	Nanoarchaeota	Negarnaviricota	Nitrososphaerota	Nitrospinota	Nitrospirota	Nucleocytoviricota	Peploviricota	Phixviricota	Pisuviricota	Planctomycetota	Preplasmiviricota	Pseudomonadota	Rhodothermota	Saleviricota	Spirochaetota	Streptophyta	Synergistota	Taleaviricota	Thermodesulfobacteriota	Thermomicrobiota	Thermoproteota	Thermotogota	Uroviricota	Verrucomicrobiota
SRR5930505	-1.443201	12.029821	-1.443201	-1.443201	-1.443201	-1.443201	15.683583	15.587579	-1.443201	-1.443201	-1.443201	-1.443201	7.767240	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	8.865785	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	-1.443201	9.713064	-1.443201	-1.443201	7.767240	-1.443201	-1.443201	-1.443201	8.460337	-1.443201	-1.443201	-1.443201	9.376598	-1.443201
SRR5930506	-1.479960	11.719366	-1.479960	-1.479960	-1.479960	-1.479960	15.128555	15.442377	-1.479960	-1.479960	-1.479960	-1.479960	8.423578	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	8.423578	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	11.341301	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	-1.479960	10.128285	-1.479960	-1.479960	-1.479960	9.339838	7.730480
SRR5930507	-1.875891	12.409624	-1.875891	-1.875891	-1.875891	-1.875891	15.082478	15.065063	-1.875891	-1.875891	-1.875891	-1.875891	8.027646	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	9.126225	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	11.323435	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	-1.875891	10.630290	-1.875891	-1.875891	7.334549	-1.875891	-1.875891	-1.875891	7.334549	-1.875891	-1.875891	-1.875891	13.021425	10.701749
SRR5930508	-1.461036	13.169840	-1.461036	-1.461036	-1.461036	-1.461036	15.435008	15.339652	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	10.051900	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	13.309987	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	-1.461036	9.695229	-1.461036	-1.461036	-1.461036	13.138377	7.749405
SRR5930509	-1.844989	11.722061	-1.844989	-1.844989	-1.844989	-1.844989	14.506596	15.071064	-1.844989	-1.844989	-1.844989	-1.844989	7.365451	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	9.667946	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	8.463997	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	-1.844989	10.861862	-1.844989	-1.844989	7.365451	-1.844989	-1.844989	-1.844989	8.058548	-1.844989	-1.844989	-1.844989	12.255701	12.740630
SRR5930510	-1.691887	12.322476	-1.691887	-1.691887	-1.691887	-1.691887	15.349277	15.403783	-1.691887	-1.691887	-1.691887	-1.691887	7.518554	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	9.715689	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	9.464378	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	12.113575	-1.691887	-1.691887	7.518554	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	-1.691887	10.562981	10.003369
SRR5930511	-1.604255	13.706405	-1.604255	-1.604255	-1.604255	-1.604255	15.510051	14.310500	-1.604255	-1.604255	-1.604255	-1.604255	7.606185	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	9.552010	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	-1.604255	10.601823	-1.604255	-1.604255	7.606185	-1.604255	-1.604255	-1.604255	7.606185	-1.604255	-1.604255	-1.604255	7.606185	10.171042
SRR5930512	-1.376488	12.082349	-1.376488	-1.376488	-1.376488	-1.376488	16.276107	12.612977	-1.376488	-1.376488	-1.376488	-1.376488	9.220172	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	7.833952	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	14.947809	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	-1.376488	11.417374	7.833952
SRR5930513	-1.345246	11.872429	-1.345246	-1.345246	-1.345246	-1.345246	15.035214	16.353888	-1.345246	-1.345246	-1.345246	-1.345246	9.474552	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	9.656870	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	9.811019	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	-1.345246	10.062330	7.865194
SRR5930514	-1.849117	12.829284	-1.849117	-1.849117	-1.849117	-1.849117	14.307237	14.300477	-1.849117	-1.849117	-1.849117	-1.849117	7.361323	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	8.970681	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	12.221036	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	-1.849117	11.705030	-1.849117	-1.849117	-1.849117	-1.849117	7.361323	-1.849117	9.440677	-1.849117	-1.849117	-1.849117	9.846138	10.000288
