genus	n_folds	folds_selected	folds_nonzero	pct_selected	pct_nonzero_of_sel	sign_pos_frac	mean_coef_nz	direction	binomial_p	bh_fdr_q	fdr_sig
Palaeococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Palaemonvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pakpunavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pandoravirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pajaroellobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paludisphaera	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Abidjanvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraconexibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pankowvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraphotobacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parapoxvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pararhizobium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pararhodospirillum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasaccharibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parascardovia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasedimentitalea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parashewanella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasphingopyxis	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasphingorhabdus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasynechococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraurantiacibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parazoarcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paremcibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parlovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paroceanicella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parolsenella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraoerskovia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Panjvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraneptunicella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraliobacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pannonibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pantoea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parabacteroides	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraburkholderia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parachlamydia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paracholeplasma	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraclostridium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paracoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenalkalicoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paracrocinitomix	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paradesulfovibrio	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paradevosia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parafannyhessea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraflavitalea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parageobacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraglaciecola	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paralcaligenes	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paralysiella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenalcaligenes	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthotospovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pacinivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Obesumbacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Obolenskvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Occallatibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Occultella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanicoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanicola	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanidesulfovibrio	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanihabitans	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanimonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanirhabdus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanisphaera	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanispirochaeta	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanithermus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanobacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanotoga	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Octadecabacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Odonatavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nymphadoravirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oecophyllibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novosphingopyxis	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novosibvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Niveispirillum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nocardia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nocardioides	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nocardiopsis	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nochtlivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nodensvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nodularia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nonagvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nonlabens	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nonomuraea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nordella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nosocomiicoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nostoc	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novacetimonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novibacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Noviherbaspirillum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novisyntrophococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novosphingobium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oengusvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oenococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oerskovia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthophasmavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthopoxvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthoreovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parvibaculum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oryzomicrobium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oryzopoxvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oscillatoria	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oscillibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Ostreavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Otagovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Otariodibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Ottowia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Owenweeksia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oxychlovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oxynema	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pacehavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pacificitalea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthonairovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthohepadnavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthohantavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthoflavivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oleidesulfovibrio	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oleiphilus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oligella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Olivibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Olleya	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Olsenella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Omegavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oneupvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pacuvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Opitutus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oricola	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orientia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Ornithinimicrobium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Ornithobacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orrella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthoavulavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthobornavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orthobunyavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Orbivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parvicella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelagerythrobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parvularcula	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polaromonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pollockvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pollyceevirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polyangium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polybotosvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polycladomyces	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polymorphobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polymorphospora	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polymorphum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polynucleobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polystyrenella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pontibacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pontibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pontibrevibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Ponticoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pontimonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pontivivens	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Polaribacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Poriferisphaera	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pokrovskaiavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pluralibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Piscinibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Piscirickettsia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pistricoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pithovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Planctomyces	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Planctopirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Planktothrix	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Planococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Plantactinospora	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Plantibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Plasmopamonavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Plateaulakevirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pleakleyvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pleetrevirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Plesiomonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pleurocapsa	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Plotvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pogseptimavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pirellulimonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Porphyrobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pospiviroid	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Proteus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Protofrankia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Providencia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Prymnesiovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Przondovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudactinotalea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudalkalibacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudanabaena	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudarthrobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudazoarcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudemcibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudescherichia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudoalteromonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudobdellovibrio	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudobutyrivibrio	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pseudochrobactrum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Proteiniphilum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Poseidonibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Proteiniclasticum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Prosthecochloris	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Potexvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Potyvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pourcelvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pradoshia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pradovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pragia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Prasinovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Prauserella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Predatorvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Prescottella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
