genus	n_folds	folds_selected	folds_nonzero	pct_selected	pct_nonzero_of_sel	sign_pos_frac	mean_coef_nz	direction	binomial_p	bh_fdr_q	fdr_sig
Staphylococcus	39	39	37	100.0	94.9	1.0	0.06957	R+	0.0	0.0	True
Wujia	39	39	39	100.0	100.0	1.0	0.14893	R+	0.0	0.0	True
Longicatena	39	39	38	100.0	97.4	0.0	-0.07501	NR+	0.0	0.0	True
Actinomyces	39	39	39	100.0	100.0	0.0	-0.09839	NR+	0.0	0.0	True
Lactococcus	39	39	39	100.0	100.0	1.0	0.15992	R+	0.0	0.0	True
Lacticaseibacillus	39	39	39	100.0	100.0	0.0	-0.1278	NR+	0.0	0.0	True
Solibaculum	39	39	39	100.0	100.0	1.0	0.13287	R+	0.0	0.0	True
Acutalibacter	39	39	37	100.0	94.9	0.0	-0.10544	NR+	0.0	0.0	True
Qiania	39	39	38	100.0	97.4	0.0	-0.07206	NR+	0.0	0.0	True
Lachnospira	39	39	37	100.0	94.9	1.0	0.04077	R+	0.0	0.0	True
Porphyromonas	39	35	35	89.7	100.0	0.0	-0.26766	NR+	0.0	0.0	True
Collinsella	39	39	37	100.0	94.9	0.0	-0.05185	NR+	0.0	0.0	True
Campylobacter	39	39	33	100.0	84.6	1.0	0.02837	R+	0.0	0.0	True
Akkermansia	39	39	39	100.0	100.0	0.0	-0.12852	NR+	0.0	0.0	True
Desulfovibrio	39	39	38	100.0	97.4	1.0	0.0866	R+	0.0	0.0	True
Birpovirus	39	35	35	89.7	100.0	1.0	0.153	R+	0.0	0.0	True
Veillonella	39	39	39	100.0	100.0	0.0	-0.07754	NR+	0.0	0.0	True
Aurodevirus	39	34	34	87.2	100.0	0.0	-0.26312	NR+	0.0	0.0	True
Turicibacter	39	39	39	100.0	100.0	0.0	-0.16401	NR+	0.0	0.0	True
Monoglobus	39	39	37	100.0	94.9	0.0	-0.06079	NR+	0.0	0.0	True
Sellimonas	39	39	39	100.0	100.0	1.0	0.13022	R+	0.0	0.0	True
Treponema	39	39	32	100.0	82.1	1.0	0.03303	R+	0.0	0.0	True
Amedibacterium	39	39	39	100.0	100.0	0.0	-0.06349	NR+	0.0	0.0	True
Schaalia	39	39	39	100.0	100.0	0.0	-0.17391	NR+	0.0	0.0	True
Methanobrevibacter	39	39	39	100.0	100.0	0.0	-0.08077	NR+	0.0	0.0	True
Emergencia	39	39	39	100.0	100.0	1.0	0.17077	R+	0.0	0.0	True
Paraprevotella	39	39	39	100.0	100.0	0.0	-0.2436	NR+	0.0	0.0	True
Catenibacterium	39	39	39	100.0	100.0	0.0	-0.08149	NR+	0.0	0.0	True
