genus	n_folds	folds_selected	folds_nonzero	pct_selected	pct_nonzero_of_sel	sign_pos_frac	mean_coef_nz	direction	binomial_p	bh_fdr_q	fdr_sig
Lachnospira	118	118	117	100.0	99.2	0.0	-0.04632	NR+	0.0	0.0	True
Eggerthella	118	118	118	100.0	100.0	1.0	0.04319	R+	0.0	0.0	True
Maliibacterium	118	99	91	83.9	91.9	0.879	0.01667	R+	0.0	0.0	True
Prevotella	118	118	112	100.0	94.9	0.205	-0.00979	NR+	0.0	0.0	True
Veillonella	118	118	117	100.0	99.2	0.0	-0.04634	NR+	0.0	0.0	True
Methanobrevibacter	118	118	118	100.0	100.0	1.0	0.06118	R+	0.0	0.0	True
Longicatena	118	118	118	100.0	100.0	1.0	0.03863	R+	0.0	0.0	True
Wujia	118	118	118	100.0	100.0	1.0	0.2624	R+	0.0	0.0	True
Sutterella	118	118	117	100.0	99.2	0.111	-0.01376	NR+	0.0	0.0	True
Solibaculum	118	118	112	100.0	94.9	0.08	-0.02824	NR+	0.0	0.0	True
Emergencia	118	118	118	100.0	100.0	0.0	-0.15477	NR+	0.0	0.0	True
Akkermansia	118	118	107	100.0	90.7	0.084	-0.01276	NR+	0.0	0.0	True
Citrobacter	118	118	118	100.0	100.0	0.0	-0.05203	NR+	0.0	0.0	True
Blohavirus	118	118	118	100.0	100.0	1.0	0.07554	R+	0.0	0.0	True
Actinomyces	118	118	118	100.0	100.0	0.0	-0.16669	NR+	0.0	0.0	True
Haemophilus	118	118	116	100.0	98.3	0.966	0.02964	R+	0.0	0.0	True
Coprobacter	118	118	112	100.0	94.9	0.062	-0.01779	NR+	0.0	0.0	True
Lactococcus	118	118	118	100.0	100.0	1.0	0.18252	R+	0.0	0.0	True
Lactobacillus	118	118	118	100.0	100.0	1.0	0.06406	R+	0.0	0.0	True
Monoglobus	118	118	104	100.0	88.1	0.846	0.00789	R+	0.0	0.0	True
Lacticaseibacillus	118	118	106	100.0	89.8	0.934	0.02062	R+	0.0	0.0	True
Lacrimispora	118	118	113	100.0	95.8	0.885	0.01314	R+	0.0	0.0	True
Porphyromonas	118	118	118	100.0	100.0	0.0	-0.16234	NR+	0.0	0.0	True
Desulfovibrio	118	118	118	100.0	100.0	1.0	0.11732	R+	0.0	0.0	True
Adlercreutzia	118	118	118	100.0	100.0	0.0	-0.13314	NR+	0.0	0.0	True
Qiania	118	118	110	100.0	93.2	0.118	-0.01342	NR+	0.0	0.0	True
Odoribacter	118	118	118	100.0	100.0	1.0	0.06343	R+	0.0	0.0	True
Schaalia	118	118	107	100.0	90.7	0.832	0.01061	R+	0.0	0.0	True
Amedibacterium	118	37	37	31.4	100.0	1.0	0.09577	R+	0.0	0.0	True
Paraprevotella	118	118	118	100.0	100.0	0.0	-0.08287	NR+	0.0	0.0	True
Enterobacter	118	118	115	100.0	97.5	0.965	0.01938	R+	0.0	0.0	True
Escherichia	118	118	118	100.0	100.0	0.983	0.03085	R+	0.0	0.0	True
Cohcovirus	118	104	104	88.1	100.0	1.0	0.09718	R+	0.0	0.0	True
Marvinbryantia	118	118	118	100.0	100.0	0.008	-0.05942	NR+	0.0	0.0	True
Massilistercora	118	118	111	100.0	94.1	0.838	0.00891	R+	0.0	0.0	True
Turicibacter	118	118	117	100.0	99.2	0.009	-0.03077	NR+	0.0	0.0	True
Christensenella	118	118	109	100.0	92.4	0.156	-0.01201	NR+	0.0	0.0	True
Ligilactobacillus	118	118	118	100.0	100.0	1.0	0.08772	R+	0.0	0.0	True
Oxalobacter	118	118	118	100.0	100.0	1.0	0.2246	R+	0.0	0.0	True
Faecalibacillus	118	118	116	100.0	98.3	0.922	0.01065	R+	0.0	0.0	True
Collinsella	118	118	118	100.0	100.0	0.0	-0.11368	NR+	0.0	0.0	True
Fusobacterium	118	118	111	100.0	94.1	0.099	-0.01343	NR+	0.0	0.0	True
Catenibacterium	118	118	118	100.0	100.0	0.0	-0.10681	NR+	0.0	0.0	True
Romboutsia	118	118	118	100.0	100.0	0.0	-0.05185	NR+	0.0	0.0	True
Phascolarctobacterium	118	118	118	100.0	100.0	0.992	0.05739	R+	0.0	0.0	True
Klebsiella	118	118	118	100.0	100.0	0.025	-0.02962	NR+	0.0	0.0	True
Afonbuvirus	118	106	105	89.8	99.1	0.0	-0.03097	NR+	0.0	0.0	True
Barnesiella	118	118	118	100.0	100.0	0.017	-0.04992	NR+	0.0	0.0	True
Limosilactobacillus	118	118	116	100.0	98.3	0.0	-0.06502	NR+	0.0	0.0	True
Campylobacter	118	118	112	100.0	94.9	0.982	0.02875	R+	0.0	0.0	True
Dialister	118	118	118	100.0	100.0	0.0	-0.04963	NR+	0.0	0.0	True
Streptomyces	118	118	118	100.0	100.0	0.0	-0.11969	NR+	0.0	0.0	True
Sellimonas	118	118	118	100.0	100.0	1.0	0.19181	R+	0.0	0.0	True
Wansuia	118	118	118	100.0	100.0	0.0	-0.07709	NR+	0.0	0.0	True
Carjivirus	118	118	115	100.0	97.5	0.017	-0.0224	NR+	0.0	0.0	True
Acidaminococcus	118	118	118	100.0	100.0	1.0	0.14627	R+	0.0	0.0	True
Gordonibacter	118	118	105	100.0	89.0	0.248	-0.00352	NR+	0.0	1.1e-05	True
Butyricimonas	118	118	93	100.0	78.8	0.742	0.00961	R+	3e-06	0.00016	True
Rothia	118	8	8	6.8	100.0	0.0	-0.03183	NR+	0.007812	0.372484	False
Panjvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pankowvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pandoravirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paludibacterium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Panacibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenibacillus	118	118	94	100.0	79.7	0.457	-0.00639	NR+	0.470492	1.0	False
Paeniclostridium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paeniglutamicibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenisporosarcina	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pagevirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pahexavirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pahsextavirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pajaroellobacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pakpunavirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Palaemonvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Palaeococcus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paludibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paludibaculum	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paludisphaera	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pamirivirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pandoraea	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pannonibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Abidjanvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parabacteroides	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pararhodospirillum	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasaccharibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parascardovia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasedimentitalea	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parashewanella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasphingopyxis	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasphingorhabdus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parasynechococcus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraurantiacibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parazoarcus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paremcibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parlovirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paroceanicella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parolsenella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parvibaculum	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parvicella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parvimonas	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pararhizobium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parapoxvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraphotobacterium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraoerskovia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraburkholderia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parachlamydia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paracholeplasma	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraclostridium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paracoccus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraconexibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paracrocinitomix	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenarthrobacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pantoea	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paradesulfovibrio	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parafannyhessea	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraflavitalea	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Parageobacillus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraglaciecola	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paralcaligenes	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraliobacillus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paralysiella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paraneptunicella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paradevosia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paenalkalicoccus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oryzopoxvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pacuvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Obolenskvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Occallatibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Occultella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanicoccus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanicola	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanidesulfovibrio	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanihabitans	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanimonas	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanirhabdus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanisphaera	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanispirochaeta	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanithermus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanobacillus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oceanotoga	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Octadecabacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Odonatavirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oecophyllibacter	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Obesumbacterium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Oengusvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nymphadoravirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Novosphingobium	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nocardia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nocardioides	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nocardiopsis	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nochtlivirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nodensvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nodularia	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nonagvirus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nonlabens	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nonomuraea	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nordella	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nosocomiicoccus	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Nostoc	118	0	0	0.0	0.0		0.0	none	1.0	1.0	False
