mode	target_r2	delta	verified_r2
signal	0.007	4.6566128730773926e-09	0.008511987697502162
signal	0.027	2.9869072465226054	0.026491036408772917
signal	0.05	4.610767369158566	0.05057973010974675
signal	0.1	6.973097654990852	0.1000976926031982
batch	0.0	0.0	0.0
batch	0.04	7.735916278325021	0.040163133019171446
batch	0.08	13.020927915349603	0.08042338291356112
batch	0.15	19.726562509313226	0.15160519235632927
