method	response_R2	response_p	batch_R2	batch_p	ENet_AUC	RF_AUC	perm_p_ENet	perm_p_RF	ENet_acc	ENet_sens	ENet_spec	RF_acc	RF_sens	RF_spec	leakage_flag	notes
uncorrected_baseline	0.0068	0.847	0.0768	0.001	0.3511	0.5421		0.25	0.3814	0.375	0.3889	0.5763	0.7188	0.4074	none	Existing result from run_loocv_combat_3cohort.py (no correction). PERMANOVA from permanova_3cohort_results.tsv. N=100 perm test for RF.
mean_centering	0.005995	0.967	-0.0	1.0	0.3294	0.5321	0.96	0.24	0.3814	0.4219	0.3333	0.5508	0.7031	0.3704	none	Location-only; existing ComBat reference (Python mean-centering; not true ComBat-seq which requires count data).
location_scale	0.005976	0.955	0.0	1.0	0.3634	0.5127	0.98	0.24	0.4322	0.4531	0.4074	0.5593	0.7188	0.3704	none	Python approx of MMUPHin adjust_batch: per-feature per-batch standardise then rescale to global mean/std. R/Bioconductor not available — true MMUPHin unavailable.
quantile_mapping	0.005704	0.977	0.0012	1.0	0.3466	0.4193	1.0	0.8	0.4322	0.4688	0.3889	0.5	0.6875	0.2778	none	Python approx of ConQuR: per-feature ECDF transfer from each non-reference batch to Cohort 1 (HiSeq) training distribution. R not available — true ConQuR unavailable.
percentile_norm	0.001261	0.7437	0.0	1.0	0.4193	0.4647	0.85	0.71	0.4492	0.4062	0.5	0.5085	0.6562	0.3333	none	Within-batch percentile ranks of CLR values. Training-fold distributions used for test sample mapping.
cohort_covariate	0.006791	0.8468	0.076773	0.0	0.3537	0.3439	0.98	0.94	0.3559	0.3906	0.3148	0.4831	0.6875	0.2407	none	No feature-matrix correction. Two binary dummy variables (cohort2, cohort3) appended after feature selection per fold. | PERMANOVA on uncorrected CLR (covariate approach adds no matrix transform)
