run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
ERR6279657	R	65	0.9965	R	YES	0.6215	1.0	0.3	0.4654	NR	NO	0.4546	200	5	0.5352	R	YES	0.5469	200	3	0.1
ERR6279658	NR	65	0.8974	R	NO	0.5492	1.0	0.5	0.5	R	NO	0.5267	200	None	0.8447	R	NO	0.5347	200	3	0.1
ERR6279659	NR	65	0.3808	NR	YES	0.542	10.0	0.3	0.29	NR	YES	0.46	500	None	0.3973	NR	YES	0.4797	200	2	0.1
ERR6279660	NR	65	0.1926	NR	YES	0.5608	1.0	0.7	0.265	NR	YES	0.4716	200	None	0.1407	NR	YES	0.5327	100	3	0.1
ERR6279661	R	65	0.0103	NR	NO	0.5869	1.0	0.3	0.3616	NR	NO	0.5137	500	10	0.2411	NR	NO	0.5158	200	3	0.1
ERR6279662	R	65	0.856	R	YES	0.5502	1.0	0.7	0.5	R	YES	0.549	200	None	0.5522	R	YES	0.5546	100	2	0.05
ERR6279663	R	65	0.1708	NR	NO	0.5092	100.0	0.3	0.2935	NR	NO	0.5093	500	10	0.3363	NR	NO	0.5107	100	2	0.1
ERR6279664	R	65	0.6467	R	YES	0.5738	1.0	0.7	0.557	R	YES	0.4842	500	5	0.5276	R	YES	0.5523	100	2	0.1
ERR6279665	R	65	0.0045	NR	NO	0.6179	1.0	0.7	0.3529	NR	NO	0.533	500	5	0.0291	NR	NO	0.5953	200	2	0.1
ERR6279666	R	65	0.9792	R	YES	0.6264	1.0	0.5	0.46	NR	NO	0.506	200	None	0.322	NR	NO	0.5689	200	3	0.05
ERR6279667	R	65	0.9841	R	YES	0.6168	1.0	0.7	0.5607	R	YES	0.4907	500	5	0.6004	R	YES	0.5435	200	3	0.1
ERR6279668	NR	65	0.0487	NR	YES	0.5876	10.0	0.3	0.2918	NR	YES	0.4994	500	5	0.053	NR	YES	0.5081	200	3	0.05
ERR6279669	NR	65	0.9994	R	NO	0.5825	1.0	0.7	0.4899	NR	YES	0.5125	500	5	0.5627	R	NO	0.5719	100	2	0.05
ERR6279670	NR	65	0.2293	NR	YES	0.6181	10.0	0.3	0.3104	NR	YES	0.4978	500	10	0.0905	NR	YES	0.581	200	3	0.1
ERR6279671	NR	65	0.0116	NR	YES	0.5951	1.0	0.5	0.4056	NR	YES	0.5004	200	5	0.0814	NR	YES	0.5469	200	3	0.1
ERR6279672	NR	65	0.6612	R	NO	0.5625	1.0	0.5	0.4495	NR	YES	0.4984	200	10	0.3098	NR	YES	0.4947	200	2	0.05
ERR6279673	NR	65	0.8135	R	NO	0.5887	1.0	0.5	0.432	NR	YES	0.491	500	None	0.2774	NR	YES	0.5233	200	3	0.1
ERR6279674	R	65	0.5179	R	YES	0.5791	1.0	0.7	0.4918	NR	NO	0.5271	200	10	0.4842	NR	NO	0.5505	200	2	0.1
ERR6279675	NR	65	0.0741	NR	YES	0.6176	1.0	0.5	0.3667	NR	YES	0.5522	200	5	0.1058	NR	YES	0.587	200	3	0.05
ERR6279676	R	65	0.0047	NR	NO	0.6288	10.0	0.3	0.272	NR	NO	0.5413	500	None	0.0322	NR	NO	0.6015	100	3	0.1
ERR6279677	R	65	0.9068	R	YES	0.5755	1.0	0.7	0.375	NR	NO	0.5042	200	None	0.6855	R	YES	0.5279	200	2	0.1
ERR6279678	NR	65	0.9617	R	NO	0.598	1.0	0.7	0.51	R	NO	0.5014	200	None	0.4094	NR	YES	0.536	200	2	0.05
ERR6279679	NR	65	0.2711	NR	YES	0.6067	100.0	0.3	0.328	NR	YES	0.4657	500	None	0.2901	NR	YES	0.4771	100	3	0.05
ERR6279680	R	65	0.9793	R	YES	0.613	1.0	0.7	0.36	NR	NO	0.5121	500	None	0.5538	R	YES	0.539	200	2	0.1
ERR6279681	R	65	0.8473	R	YES	0.6157	1.0	0.7	0.5493	R	YES	0.4962	200	5	0.7979	R	YES	0.5474	200	3	0.05
ERR6279682	NR	65	0.0023	NR	YES	0.5282	1.0	0.7	0.4197	NR	YES	0.5199	200	5	0.1938	NR	YES	0.5381	200	2	0.05
ERR6279683	NR	65	0.9942	R	NO	0.6056	100.0	0.3	0.5193	R	NO	0.5441	500	5	0.4479	NR	YES	0.5683	200	3	0.1
ERR6280899	R	65	0.084	NR	NO	0.5647	100.0	0.5	0.3282	NR	NO	0.5136	500	10	0.0861	NR	NO	0.5072	200	2	0.1
ERR6280907	NR	65	0.3	NR	YES	0.5664	1.0	0.7	0.415	NR	YES	0.5263	200	None	0.5233	R	NO	0.5485	200	2	0.1
ERR6280910	R	65	0.9999	R	YES	0.575	1.0	0.7	0.5003	R	YES	0.4594	200	5	0.5184	R	YES	0.5393	100	3	0.05
ERR6280948	R	65	0.8973	R	YES	0.5646	1.0	0.5	0.5246	R	YES	0.5025	200	5	0.8405	R	YES	0.5438	200	2	0.1
ERR6281000	NR	65	0.0299	NR	YES	0.5799	1.0	0.7	0.2282	NR	YES	0.4919	200	10	0.2716	NR	YES	0.506	200	2	0.05
ERR6281340	NR	65	0.0016	NR	YES	0.5561	1.0	0.7	0.35	NR	YES	0.5005	200	None	0.1725	NR	YES	0.5337	200	2	0.05
ERR6281341	R	65	0.142	NR	NO	0.56	1.0	0.5	0.4773	NR	NO	0.5105	200	5	0.2939	NR	NO	0.5925	200	2	0.1
ERR6281342	NR	65	0.9312	R	NO	0.6056	1.0	0.7	0.3672	NR	YES	0.4816	500	5	0.7074	R	NO	0.569	200	2	0.1
ERR6281343	NR	65	0.0675	NR	YES	0.5916	1.0	0.7	0.386	NR	YES	0.53	500	None	0.0402	NR	YES	0.5963	200	3	0.1
ERR6281344	R	65	0.2715	NR	NO	0.5981	1.0	0.7	0.3702	NR	NO	0.516	500	10	0.1585	NR	NO	0.5219	200	2	0.1
