perm_index	auc
1	0.5768707482993197
2	0.6061224489795919
3	0.672108843537415
4	0.5877551020408164
5	0.3904761904761904
6	0.534013605442177
7	0.4755102040816327
8	0.42448979591836733
9	0.508843537414966
10	0.32040816326530613
11	0.5612244897959184
12	0.4503401360544218
13	0.4013605442176871
14	0.32108843537414966
15	0.4006802721088435
16	0.4
17	0.5360544217687075
18	0.5625850340136054
19	0.36666666666666664
20	0.4714285714285715
21	0.48639455782312924
22	0.4782312925170068
23	0.45918367346938777
24	0.6326530612244897
25	0.5095238095238095
26	0.5537414965986395
27	0.4959183673469387
28	0.46598639455782315
29	0.4585034013605443
30	0.46122448979591835
31	0.23333333333333334
32	0.5823129251700679
33	0.4503401360544218
34	0.5306122448979591
35	0.5639455782312925
36	0.5156462585034013
37	0.5591836734693878
38	0.482312925170068
39	0.5319727891156463
40	0.4931972789115646
41	0.5217687074829932
42	0.6448979591836734
43	0.4931972789115646
44	0.5040816326530613
45	0.435374149659864
46	0.5
47	0.42721088435374155
48	0.47482993197278917
49	0.5598639455782313
50	0.5183673469387755
51	0.4795918367346939
52	0.4258503401360544
53	0.5863945578231293
54	0.4870748299319728
55	0.6013605442176871
56	0.4312925170068027
57	0.5551020408163265
58	0.4544217687074831
59	0.39183673469387753
60	0.43537414965986393
61	0.5401360544217687
62	0.5306122448979592
63	0.4904761904761905
64	0.3605442176870748
65	0.49183673469387756
66	0.4442176870748299
67	0.48639455782312924
68	0.4816326530612245
69	0.5006802721088435
70	0.2972789115646258
71	0.5197278911564627
72	0.4748299319727891
73	0.6707482993197279
74	0.5523809523809524
75	0.6122448979591837
76	0.5421768707482993
77	0.5340136054421769
78	0.5632653061224491
79	0.5496598639455782
80	0.5748299319727891
81	0.5687074829931973
82	0.48299319727891155
83	0.54421768707483
84	0.3959183673469388
85	0.3993197278911565
86	0.5163265306122449
87	0.6068027210884354
88	0.4231292517006802
89	0.5850340136054422
90	0.3897959183673469
91	0.4435374149659864
92	0.44693877551020406
93	0.5789115646258504
94	0.4095238095238095
95	0.41768707482993195
96	0.5523809523809523
97	0.5142857142857143
98	0.5829931972789115
99	0.4884353741496598
100	0.42585034013605444
