model	accuracy	roc_auc	sensitivity	specificity	TP	FP	TN	FN
L1_LogReg	0.4684	0.4286	0.449	0.5	22	15	15	27
ElasticNet_LogReg	0.4557	0.4289	0.4286	0.5	21	15	15	28
RandomForest	0.962	0.9952	1.0	0.9	49	3	27	0
