perm_index	auc
1	0.5952380952380952
2	0.608843537414966
3	0.7170068027210884
4	0.5204081632653061
5	0.40748299319727893
6	0.5095238095238095
7	0.5666666666666667
8	0.47210884353741495
9	0.5176870748299319
10	0.37482993197278913
11	0.5693877551020409
12	0.5102040816326531
13	0.39183673469387753
14	0.291156462585034
15	0.4380952380952381
16	0.3986394557823129
17	0.4986394557823129
18	0.5530612244897959
19	0.3789115646258503
20	0.48027210884353744
21	0.49387755102040815
22	0.472108843537415
23	0.46394557823129245
24	0.6197278911564627
25	0.464625850340136
26	0.55578231292517
27	0.527891156462585
28	0.5258503401360545
29	0.42925170068027213
30	0.5142857142857143
31	0.39387755102040817
32	0.627891156462585
33	0.419047619047619
34	0.5013605442176872
35	0.5625850340136055
36	0.5448979591836736
37	0.5387755102040817
38	0.48231292517006796
39	0.6278911564625851
40	0.4938775510204082
41	0.4952380952380952
42	0.6272108843537414
43	0.5380952380952381
44	0.49183673469387756
45	0.34965986394557824
46	0.4673469387755102
47	0.39047619047619053
48	0.473469387755102
49	0.5680272108843537
50	0.5904761904761905
51	0.5183673469387755
52	0.3891156462585034
53	0.6469387755102041
54	0.45850340136054424
55	0.638095238095238
56	0.43945578231292515
57	0.5476190476190477
58	0.43741496598639457
59	0.40136054421768713
60	0.41088435374149657
61	0.5258503401360544
62	0.6006802721088436
63	0.5020408163265306
64	0.37006802721088433
65	0.5061224489795919
66	0.4741496598639456
67	0.48707482993197276
68	0.44625850340136053
69	0.4564625850340136
70	0.3340136054421769
71	0.5353741496598639
72	0.5081632653061224
73	0.673469387755102
74	0.5931972789115646
75	0.6040816326530613
76	0.5081632653061224
77	0.5421768707482993
78	0.5414965986394557
79	0.582312925170068
80	0.5380952380952381
81	0.5809523809523809
82	0.5333333333333333
83	0.5421768707482993
84	0.3965986394557823
85	0.3482993197278912
86	0.4714285714285714
87	0.5469387755102041
88	0.46190476190476193
89	0.5537414965986395
90	0.38979591836734695
91	0.4653061224489796
92	0.42993197278911566
93	0.5721088435374149
94	0.44285714285714284
95	0.41768707482993195
96	0.5863945578231292
97	0.5367346938775511
98	0.5884353741496599
99	0.4829931972789116
100	0.4
