factor	n_samples	n_groups	SS_total	SS_between	SS_within	R2	F_stat	p_value	n_perms	perm_F_mean	perm_F_std
batch	118	3	259402.8046	19915.0526	239487.752	0.0768	4.7815	0.0	999	1.0028	0.1487
response	118	2	259402.8046	1761.6021	257641.2025	0.0068	0.7931	0.8468	999	1.0021	0.2272
