factor	n_samples	n_groups	SS_total	SS_between	SS_within	R2	F_stat	p_value	n_perms	perm_F_mean	perm_F_std
batch	79	2	177457.4611	15069.3908	162388.0703	0.0849	7.1455	0.0	999	1.0026	0.2328
response	79	2	177457.4611	1952.0708	175505.3904	0.011	0.8564	0.6947	999	0.9948	0.2276
