run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
SRR5930504	R	59	0.9483	R	YES	0.367	1.0	0.7	0.7083	R	YES	0.4215	500	5	0.7858	R	YES	0.4894	100	2	0.05
SRR5930505	R	59	0.719	R	YES	0.384	10.0	0.3	0.6019	R	YES	0.5252	500	10	0.6617	R	YES	0.4955	200	2	0.1
SRR5930506	R	59	0.9777	R	YES	0.3843	1.0	0.7	0.62	R	YES	0.4726	200	None	0.6504	R	YES	0.4802	100	2	0.1
SRR5930507	NR	59	0.409	NR	YES	0.4273	1.0	0.7	0.7845	R	NO	0.5766	200	10	0.9523	R	NO	0.5919	100	3	0.05
SRR5930508	NR	59	0.3551	NR	YES	0.3532	10.0	0.5	0.5	R	NO	0.5424	200	5	0.2242	NR	YES	0.5438	100	2	0.1
SRR5930509	NR	59	0.0285	NR	YES	0.3285	1.0	0.7	0.5703	R	NO	0.4873	500	5	0.5642	R	NO	0.4687	100	3	0.05
SRR5930510	NR	59	0.9981	R	NO	0.4267	1.0	0.5	0.7076	R	NO	0.5146	500	5	0.8205	R	NO	0.5446	100	2	0.05
SRR5930511	R	59	0.0019	NR	NO	0.404	100.0	0.3	0.5945	R	YES	0.5211	200	5	0.7984	R	YES	0.465	200	2	0.1
SRR5930512	R	59	0.313	NR	NO	0.4225	10.0	0.7	0.41	NR	NO	0.5162	200	10	0.3264	NR	NO	0.5062	100	2	0.05
SRR5930513	R	59	0.9601	R	YES	0.4162	1.0	0.7	0.6135	R	YES	0.5154	500	10	0.6499	R	YES	0.4773	200	2	0.05
SRR5930514	R	59	0.0151	NR	NO	0.4628	10.0	0.7	0.4568	NR	NO	0.51	500	10	0.3461	NR	NO	0.5492	100	2	0.1
SRR5930515	NR	59	0.2536	NR	YES	0.4366	1.0	0.3	0.7733	R	NO	0.4675	500	5	0.8166	R	NO	0.5268	100	2	0.05
SRR5930516	R	59	0.2818	NR	NO	0.3655	10.0	0.3	0.5579	R	YES	0.526	200	5	0.389	NR	NO	0.4674	200	2	0.05
SRR5930517	NR	59	1.0	R	NO	0.4649	1.0	0.5	0.667	R	NO	0.4831	500	5	0.7306	R	NO	0.5206	200	2	0.05
SRR5930518	NR	59	0.9693	R	NO	0.4194	100.0	0.3	0.4956	NR	YES	0.4895	500	10	0.4251	NR	YES	0.5007	100	2	0.05
SRR5930519	NR	59	0.7703	R	NO	0.3521	10.0	0.5	0.805	R	NO	0.5268	200	None	0.9449	R	NO	0.4845	100	2	0.1
SRR5930520	NR	59	0.828	R	NO	0.3598	1.0	0.3	0.526	R	NO	0.5246	500	None	0.6534	R	NO	0.5546	200	2	0.1
SRR5930521	NR	59	0.0187	NR	YES	0.4117	1.0	0.7	0.6932	R	NO	0.5	500	5	0.7769	R	NO	0.4812	100	3	0.05
SRR5930522	NR	59	0.9047	R	NO	0.3635	1.0	0.7	0.5733	R	NO	0.5859	200	5	0.444	NR	YES	0.5697	200	2	0.05
SRR5930523	R	59	0.7325	R	YES	0.3358	100.0	0.3	0.6545	R	YES	0.4705	500	5	0.9346	R	YES	0.4636	100	2	0.1
SRR5930526	NR	59	0.3249	NR	YES	0.3688	100.0	0.5	0.514	R	NO	0.4422	500	None	0.6306	R	NO	0.4518	100	2	0.05
SRR5930527	R	59	0.1333	NR	NO	0.3299	100.0	0.3	0.628	R	YES	0.4989	200	5	0.6767	R	YES	0.5152	100	3	0.05
SRR5930528	NR	59	0.9979	R	NO	0.4094	100.0	0.3	0.7067	R	NO	0.4962	200	5	0.8671	R	NO	0.4654	100	2	0.05
SRR5930529	R	59	0.912	R	YES	0.4513	100.0	0.3	0.76	R	YES	0.4431	200	None	0.8752	R	YES	0.4556	100	2	0.1
SRR5930530	R	59	0.9612	R	YES	0.4039	100.0	0.3	0.555	R	YES	0.5215	200	None	0.4999	NR	NO	0.5253	100	2	0.05
SRR5930531	R	59	0.2458	NR	NO	0.3462	1.0	0.7	0.684	R	YES	0.5213	500	None	0.7817	R	YES	0.5354	100	2	0.05
SRR5930532	R	59	0.0878	NR	NO	0.3674	10.0	0.3	0.5367	R	YES	0.4761	500	5	0.4743	NR	NO	0.4719	100	3	0.05
SRR5930533	R	59	0.0015	NR	NO	0.4235	10.0	0.5	0.4951	NR	NO	0.5082	200	10	0.4076	NR	NO	0.521	100	3	0.05
SRR5930534	R	59	0.0944	NR	NO	0.3731	1.0	0.5	0.4804	NR	NO	0.4876	200	10	0.4678	NR	NO	0.5072	200	2	0.05
SRR5930536	R	59	0.0364	NR	NO	0.3666	100.0	0.3	0.6894	R	YES	0.5367	200	10	0.8948	R	YES	0.524	100	2	0.05
SRR6000869	NR	59	0.8513	R	NO	0.367	10.0	0.7	0.3146	NR	YES	0.5226	200	5	0.3005	NR	YES	0.5315	200	2	0.05
SRR6000870	R	59	0.1941	NR	NO	0.413	1.0	0.5	0.6799	R	YES	0.4869	500	10	0.8453	R	YES	0.4747	200	2	0.1
SRR6000871	R	59	0.1627	NR	NO	0.391	100.0	0.3	0.3055	NR	NO	0.5001	500	10	0.3361	NR	NO	0.5195	200	2	0.05
SRR6000873	NR	59	0.9873	R	NO	0.369	1.0	0.7	0.468	NR	YES	0.5379	500	5	0.4436	NR	YES	0.5167	100	2	0.05
SRR6000874	NR	59	0.9999	R	NO	0.4308	10.0	0.5	0.428	NR	YES	0.5482	500	None	0.3792	NR	YES	0.5541	100	2	0.05
SRR6000877	NR	59	0.9963	R	NO	0.4333	1.0	0.3	0.448	NR	YES	0.4876	500	None	0.5162	R	NO	0.5049	100	2	0.05
SRR6000878	NR	59	0.1641	NR	YES	0.3958	1.0	0.3	0.429	NR	YES	0.4644	500	10	0.4862	NR	YES	0.4725	100	2	0.05
SRR6000890	NR	59	0.8739	R	NO	0.378	10.0	0.7	0.266	NR	YES	0.516	500	5	0.2586	NR	YES	0.5255	100	2	0.05
SRR6000891	NR	59	0.2641	NR	YES	0.3822	10.0	0.5	0.3888	NR	YES	0.5065	200	5	0.3775	NR	YES	0.5545	100	3	0.05
SRR6000892	NR	59	0.9375	R	NO	0.4744	100.0	0.3	0.364	NR	YES	0.5405	500	10	0.1268	NR	YES	0.5414	100	2	0.1
SRR6000893	R	59	0.2997	NR	NO	0.3719	10.0	0.5	0.396	NR	NO	0.4369	500	None	0.6943	R	YES	0.4304	100	2	0.1
SRR6000894	NR	59	0.9346	R	NO	0.4646	1.0	0.5	0.585	R	NO	0.5154	200	None	0.6686	R	NO	0.5201	100	2	0.1
SRR6000895	NR	59	0.0942	NR	YES	0.4003	100.0	0.3	0.27	NR	YES	0.5128	200	None	0.1012	NR	YES	0.5204	100	3	0.05
SRR6000896	NR	59	0.9938	R	NO	0.4141	100.0	0.3	0.62	R	NO	0.5339	500	None	0.3917	NR	YES	0.5019	200	2	0.05
SRR6000899	NR	59	0.0128	NR	YES	0.4253	1.0	0.5	0.2652	NR	YES	0.5325	500	10	0.0301	NR	YES	0.5501	200	2	0.05
SRR6000900	R	59	0.3034	NR	NO	0.3951	100.0	0.3	0.5223	R	YES	0.5341	200	5	0.564	R	YES	0.5346	100	2	0.05
SRR6000901	R	59	0.0877	NR	NO	0.3928	1.0	0.3	0.54	R	YES	0.4687	500	None	0.5449	R	YES	0.4957	200	2	0.05
SRR6000902	NR	59	0.9988	R	NO	0.4224	1.0	0.5	0.27	NR	YES	0.4874	500	None	0.1516	NR	YES	0.4747	200	2	0.05
SRR6000903	R	59	0.1771	NR	NO	0.4791	100.0	0.3	0.6099	R	YES	0.5299	500	10	0.6377	R	YES	0.5559	100	2	0.05
SRR6000905	NR	59	0.1431	NR	YES	0.3555	100.0	0.3	0.332	NR	YES	0.5353	500	None	0.1064	NR	YES	0.6305	100	2	0.05
SRR6000906	R	59	0.0551	NR	NO	0.4532	10.0	0.5	0.4681	NR	NO	0.4465	500	10	0.3786	NR	NO	0.4942	100	2	0.05
SRR6000907	NR	59	0.9704	R	NO	0.3672	10.0	0.3	0.52	R	NO	0.5577	200	10	0.3796	NR	YES	0.52	100	3	0.1
SRR6000908	R	59	0.9066	R	YES	0.3763	1.0	0.7	0.3587	NR	NO	0.4856	200	5	0.4813	NR	NO	0.5096	200	2	0.05
SRR6000909	NR	59	0.0709	NR	YES	0.4291	100.0	0.3	0.4025	NR	YES	0.5283	500	5	0.2365	NR	YES	0.5637	100	3	0.05
SRR6000910	NR	59	0.9709	R	NO	0.395	100.0	0.3	0.2905	NR	YES	0.4717	500	10	0.1836	NR	YES	0.4323	100	3	0.05
SRR6000911	R	59	0.9612	R	YES	0.3701	100.0	0.3	0.3445	NR	NO	0.4981	200	5	0.7542	R	YES	0.4276	200	2	0.1
SRR6000912	R	59	0.04	NR	NO	0.4297	1.0	0.5	0.2454	NR	NO	0.5067	200	10	0.1392	NR	NO	0.5492	100	3	0.1
SRR6000920	R	59	0.0574	NR	NO	0.4603	100.0	0.3	0.2001	NR	NO	0.5596	200	5	0.0803	NR	NO	0.554	100	3	0.05
SRR6000921	NR	59	0.5035	R	NO	0.3719	1.0	0.7	0.2459	NR	YES	0.5272	500	5	0.0779	NR	YES	0.5065	100	3	0.05
SRR6000931	R	59	0.2731	NR	NO	0.3375	10.0	0.7	0.5608	R	YES	0.4386	500	5	0.4126	NR	NO	0.4854	200	2	0.1
SRR6000932	R	59	0.9362	R	YES	0.3602	1.0	0.7	0.37	NR	NO	0.4788	200	None	0.7665	R	YES	0.4471	200	2	0.1
SRR6000940	NR	59	0.6272	R	NO	0.3772	100.0	0.3	0.5043	R	NO	0.4178	200	5	0.337	NR	YES	0.3662	100	2	0.05
SRR6000942	NR	59	0.389	NR	YES	0.4108	1.0	0.7	0.265	NR	YES	0.4665	200	None	0.1622	NR	YES	0.5161	100	2	0.1
SRR6000943	R	59	0.5347	R	YES	0.4934	1.0	0.7	0.5337	R	YES	0.4869	200	10	0.5411	R	YES	0.5535	100	2	0.05
SRR6000944	NR	59	0.3337	NR	YES	0.2699	1.0	0.7	0.3556	NR	YES	0.4905	200	10	0.337	NR	YES	0.5074	200	2	0.05
SRR6000945	NR	59	0.0395	NR	YES	0.349	10.0	0.7	0.5493	R	NO	0.4719	500	5	0.432	NR	YES	0.4875	100	2	0.1
SRR6000946	R	59	0.5643	R	YES	0.3152	1.0	0.7	0.5064	R	YES	0.5197	500	10	0.5576	R	YES	0.4723	100	2	0.05
SRR6000947	NR	59	0.0252	NR	YES	0.3474	1.0	0.5	0.375	NR	YES	0.4342	200	None	0.4037	NR	YES	0.469	100	2	0.05
SRR6000949	NR	59	0.931	R	NO	0.4096	1.0	0.3	0.3251	NR	YES	0.4074	500	10	0.3482	NR	YES	0.4262	100	2	0.1
